Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
Happy and Healthy Kitchens for Rural India,The goal of this proposed Programme of Activities (PoA) is to distribute the improved biomass cookstoves (“ICS”) & ‘Electric Cooking Devices’ (eCook) at a subsidized rate among the households of various Indian states.  The project will reduce and/or replace the use of polluting non-renewable biomass or fossil fuels used in cooking. The distribution of project devices will particularly be targeted at rural and peri-urban communities  who depend on inefficient technologies and polluting energy sources to meet their cooking needs. The project aims to skills community members in distribution and monitoring of the project and involve them in project operations. ,India,IN,Gold Standard for the Global Goals,SDG 13 Ventures,Large Scale,Energy Efficiency - Domestic,2023-08-01 - 2028-08-01,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,487049,N/A,N/A,https://platform.sustain-cert.com/public-project/3563
GS1340 Efficient cookstoves in Burkina Faso VPA 56 tiipaalga Beoong Neere,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Plateau Central region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with the improved three-stone cookstoves, tiipaalga is aiming to promote the distribution of the F3PA or the 3 stones improved cookstoves around the Plateau Central region. This micro-scale VPA is part of a group of 4 VPA’s aiming to contribute to mitigating the effects of climate change and reduce poverty among rural households by promoting the use of the F3PA improved cookstoves in two (02) rural municipalities in the province of Kourwéogo  province and in three (03) rural municipalities in Oubritenga province in the Plateau Central region. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",Burkina Faso,BF,Gold Standard for the Global Goals,Tiipaalga,Micro scale,Energy Efficiency - Domestic,2023-05-02 - 2028-05-01,LISTED,GS MS Simplified Methodology for Efficient Cookstoves v1.1,9800,1340,1431,https://platform.sustain-cert.com/public-project/3632
GS1340 Efficient cookstoves in Burkina Faso VPA 57 tiipaalga Beoong Neere,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Plateau Central region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with the improved three-stone cookstoves, tiipaalga is aiming to promote the distribution of the F3PA or the 3 stones improved cookstoves around the Plateau Central region. This micro-scale VPA is part of a group of 4 VPA’s aiming to contribute to mitigating the effects of climate change and reduce poverty among rural households by promoting the use of the F3PA improved cookstoves in two (02) rural municipalities in the province of Kourwéogo  province and in three (03) rural municipalities in Oubritenga province in the Plateau Central region. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",Burkina Faso,BF,Gold Standard for the Global Goals,Tiipaalga,Micro scale,Energy Efficiency - Domestic,2023-10-07 - 2028-10-06,LISTED,GS MS Simplified Methodology for Efficient Cookstoves v1.1,9800,1340,1431,https://platform.sustain-cert.com/public-project/3633
GS1340 Efficient cookstoves in Burkina Faso VPA 58 tiipaalga Beoong Neere,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Plateau Central region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with the improved three-stone cookstoves, tiipaalga is aiming to promote the distribution of the F3PA or the 3 stones improved cookstoves around the Plateau Central region. This micro-scale VPA is part of a group of 4 VPA’s aiming to contribute to mitigating the effects of climate change and reduce poverty among rural households by promoting the use of the F3PA improved cookstoves in two (02) rural municipalities in the province of Kourwéogo  province and in three (03) rural municipalities in Oubritenga province in the Plateau Central region. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",Burkina Faso,BF,Gold Standard for the Global Goals,Tiipaalga,Micro scale,Energy Efficiency - Domestic,2024-01-01 - 2028-12-31,LISTED,GS MS Simplified Methodology for Efficient Cookstoves v1.1,0,1340,1431,https://platform.sustain-cert.com/public-project/3634
GS1340 Efficient cookstoves in Burkina Faso VPA 59 tiipaalga Beoong Neere,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Plateau Central region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with the improved three-stone cookstoves, tiipaalga is aiming to promote the distribution of the F3PA or the 3 stones improved cookstoves around the Plateau Central region. This micro-scale VPA is part of a group of 4 VPA’s aiming to contribute to mitigating the effects of climate change and reduce poverty among rural households by promoting the use of the F3PA improved cookstoves in two (02) rural municipalities in the province of Kourwéogo  province and in three (03) rural municipalities in Oubritenga province in the Plateau Central region. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",Burkina Faso,BF,Gold Standard for the Global Goals,Tiipaalga,Micro scale,Energy Efficiency - Domestic,2024-01-01 - 2028-12-31,LISTED,GS MS Simplified Methodology for Efficient Cookstoves v1.1,9800,1340,1431,https://platform.sustain-cert.com/public-project/3635
GS10789 VPA22 Efficient and Clean Cooking for households in Kenya,"This VPA deploys highly efficient improved Firewood cookstoves (ICS), known as ‘Kuniokoas’ reducing woody biomass consumption for rural households in the Republic of Kenya. The VPA is implemented by BURN Manufacturing Co. (in the following ‘BURN’), at the same time Coordinating and Managing Entity (CME) of the PoA, the biggest manufacturer of highly efficient improved cookstoves in Sub-Saharan Africa producing all its stoves in the first and only modern cookstove manufacturing facility in Kenya. BURN collaborates with various local partners on the ground to assist in the different activities of this cookstove project. The scenario existing prior to the implementation of the project is the use of very inefficient traditional cookstoves or 3 stone fires, consuming a lot of non-renewable charcoal and firewood. The high biomass consumption has negative impacts on the environment leading to deforestation and land degradation, Greenhouse Gas Emissions (GHG) emissions, loss of soil fertility and soils’ reduced ability of water retention. Further, indoor air pollution through health-damaging pollutants while combusting firewood and charcoal result in diseases like e.g. pneumonia, stroke, ischemic heart diseases, chronic obstructive pulmonary diseases and lung cancer. The project activity will relieve these negative impacts. ",Kenya,KE,Gold Standard for the Global Goals,Global Cookstoves Limited,Large Scale,Energy Efficiency - Domestic,2024-01-02 - 2029-01-01,LISTED,GS TPDDTEC v3.1,24029,10789,2746,https://platform.sustain-cert.com/public-project/3597
GS12102 VPA 1 Carbon Credit financing for sustainable rural water supply in Manyara Region,"The project activity ""Carbon Credit financing for sustainable rural water supply in Manyara Region"" is developed by the Italian NGO Oikos in collaboration with Carbonsink. The project proposal builds upon a long-term collaboration between RUWASA and Oikos in the WASH sector. The project’s main objective is to improve access to safe water and sustainability of rural water supply services within the District of Kiteto and Simanjiro (Manyara Region), through Carbon Credit financing. The project will guarantee the sustainable supply of safe water for the remote and poor rural population through solar pumping water systems and gravity distribution networks. GS11678 to be the first real case VPA GS12458","Tanzania, United Republic of",TZ,Gold Standard for the Global Goals,Carbonsink (Carbonsink Group S.r.l.),Small Scale,Energy Efficiency - Domestic,2022-06-01 - 2027-06-01,LISTED,GS Methodology for emission reductions from safe drinking water supply,58000,N/A,N/A,https://platform.sustain-cert.com/public-project/3705
Improved Cookstove and Safe Water Programme Nigeria VPA 74,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-01-08 - 2029-01-07,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3637
Improved Cookstove and Safe Water Programme Nigeria VPA 75,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-01-08 - 2029-01-07,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3638
Improved Cookstove and Safe Water Programme Nigeria VPA 76,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-02-01 - 2029-01-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3639
Improved Cookstove and Safe Water Programme Nigeria VPA 77,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-02-01 - 2029-01-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3640
Improved Cookstove and Safe Water Programme Nigeria VPA 78,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-03-01 - 2029-02-28,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3641
Improved Cookstove and Safe Water Programme Nigeria VPA 79,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-03-01 - 2029-02-28,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3642
Improved Cookstove and Safe Water Programme Nigeria VPA 80,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-03-01 - 2029-02-28,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3643
Improved Cookstove and Safe Water Programme Nigeria VPA 81,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-04-01 - 2029-03-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3644
Improved Cookstove and Safe Water Programme Nigeria VPA 82,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-05-01 - 2029-04-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3645
Improved Cookstove and Safe Water Programme Nigeria VPA 83,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-05-01 - 2029-04-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3646
Improved Cookstove and Safe Water Programme Nigeria VPA 84,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-05-01 - 2029-04-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3647
Improved Cookstove and Safe Water Programme Nigeria VPA 85,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-06-01 - 2029-05-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3648
Improved Cookstove and Safe Water Programme Nigeria VPA 86,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-06-01 - 2029-05-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3649
Improved Cookstove and Safe Water Programme Nigeria VPA 87,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-06-01 - 2029-05-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3650
Improved Cookstove and Safe Water Programme Nigeria VPA 88,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-06-01 - 2029-05-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3651
Improved Cookstove and Safe Water Programme Nigeria VPA 89,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-07-01 - 2029-06-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3652
Improved Cookstove and Safe Water Programme Nigeria VPA 90,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-07-01 - 2029-06-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3653
Improved Cookstove and Safe Water Programme Nigeria VPA 91,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-09-01 - 2029-08-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3654
Improved Cookstove and Safe Water Programme Nigeria VPA 92,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-09-01 - 2029-08-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3655
Improved Cookstove and Safe Water Programme Nigeria VPA 93,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-09-01 - 2029-08-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3656
Improved Cookstove and Safe Water Programme Nigeria VPA 94,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-09-01 - 2029-08-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3657
Improved Cookstove and Safe Water Programme Nigeria VPA 95,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-10-01 - 2029-09-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3658
Improved Cookstove and Safe Water Programme Nigeria VPA 96,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3659
Improved Cookstove and Safe Water Programme Nigeria VPA 97,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3660
Improved Cookstove and Safe Water Programme Nigeria VPA 98,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3661
Improved Cookstove and Safe Water Programme Nigeria VPA 99,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3662
Improved Cookstove and Safe Water Programme Nigeria VPA 100,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3663
Improved Cookstove and Safe Water Programme Nigeria VPA 101,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3664
Improved Cookstove and Safe Water Programme Nigeria VPA 102,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3665
Improved Cookstove and Safe Water Programme Nigeria VPA 103,"The stated goal of proposed VPA is widespread dissemination of low GHG water purification technologies (WPS) to schools and other institutions in Nigeria. The VPA will use carbon finance to support local partners engaged in operation, sales and distribution and maintenance of various WPS technologies.",Nigeria,NG,Gold Standard for the Global Goals,Impact Carbon,Small Scale,Energy Efficiency - Domestic,2024-11-01 - 2029-10-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,60000,11189,3177,https://platform.sustain-cert.com/public-project/3666
COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME VPA 20,"UpEnergy Group will work with micro-entrepreneurs, NGOs, financial institutions, local distribution partners etc. to provide residential/institutions users with safe drinking water systems. UpEnergy would ensure the last-mile distribution/installation of the clean technologies to the beneficiaries. This VPA is implemented in host country-Uganda.",Uganda,UG,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2024-01-01 - 2028-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,43371,10963,2922,https://platform.sustain-cert.com/public-project/3589
COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME VPA 21,"UpEnergy Group will work with micro-entrepreneurs, NGOs, financial institutions, local distribution partners etc. to provide residential/institutions users with safe drinking water systems. UpEnergy would ensure the last-mile distribution/installation of the clean technologies to the beneficiaries. This VPA is implemented in host country-Uganda.",Uganda,UG,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2024-01-01 - 2028-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,43371,10963,2922,https://platform.sustain-cert.com/public-project/3590
COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME VPA 22,"UpEnergy Group will work with micro-entrepreneurs, NGOs, financial institutions, local distribution partners etc. to provide residential/institutions users with safe drinking water systems. UpEnergy would ensure the last-mile distribution/installation of the clean technologies to the beneficiaries. This VPA is implemented in host country-Uganda.",Uganda,UG,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2024-01-01 - 2028-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,GS Methodology for emission reductions from safe drinking water supply,43371,10963,2922,https://platform.sustain-cert.com/public-project/3591
Girasol Solar Power Plant,"Girasol Solar Power Plant is located on the highway Yaguate-Semana Santa, municipality of Yaguate, province of San Cristobal in Dominican Republic. The VPA consist in the installation of a new grid-connected Solar Photovoltaic Power Plant of 120 MW. With an annual electricity-generation potential of 241 GWh it is expected to reduce an estimated amount of 149,805 tCO2e.",Dominican Republic,DO,Gold Standard for the Global Goals,ENERION RENEWABLES S.R.L. SEMPLIFICATA,Large Scale,Other,2022-05-24 - 2027-05-23,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,149805,12079,4056,https://platform.sustain-cert.com/public-project/3586
UpEnergy Social and Climate Impact Programme Cooking Devices VPA 23,"The purpose of the VPA is to provide residential users with clean cooking technologies such as electric cooktop/cooker (EPC) and energy-efficient cookstoves (ICS) that moves end-users up the energy ladder and reduce greenhouse gas (GHG) emissions from the burning of non-renewable woody biomass and/or charcoal for cooking in Malawi.
The VPA is implemented by UpEnergy Group (UpEnergy/UpE) which is also the Coordinating and Managing Entity (CME) of the PoA. UpEnergy will implement the programme in partnership with local partners and would ensure the last-mile distribution/installation of the Improved Cookstoves to the beneficiaries.",Malawi,MW,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2023-02-01 - 2028-01-31,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v3.1,0,10963,2922,https://platform.sustain-cert.com/public-project/3604
UpEnergy Social and Climate Impact Programme Cooking Devices VPA 24,"The purpose of the VPA is to provide residential users with clean cooking technologies such as electric cooktop/cooker (EPC) and energy-efficient cookstoves (ICS) that moves end-users up the energy ladder and reduce greenhouse gas (GHG) emissions from the burning of non-renewable woody biomass and/or charcoal for cooking in Malawi.
The VPA is implemented by UpEnergy Group (UpEnergy/UpE) which is also the Coordinating and Managing Entity (CME) of the PoA. UpEnergy will implement the programme in partnership with local partners and would ensure the last-mile distribution/installation of the Improved Cookstoves to the beneficiaries.",Malawi,MW,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2023-02-15 - 2028-02-14,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v3.1,59714,10963,2922,https://platform.sustain-cert.com/public-project/3605
UpEnergy Social and Climate Impact Programme Cooking Devices VPA 25,"UpEnergy Group will work with micro-entrepreneurs, NGOs, financial institutions, local distribution partners etc. to provide residential/institutions users with clean cooking technologies. UpEnergy would ensure the last-mile distribution/installation of the energy efficient/clean energy technologies to the beneficiaries. This VPA is implemented in host country-Zambia.",Zambia,ZM,Gold Standard for the Global Goals,UpEnergy Group,Small Scale,Energy Efficiency - Domestic,2023-05-01 - 2028-04-30,GOLD_STANDARD_CERTIFIED_DESIGN,GS TPDDTEC v3.1,48686,10963,2922,https://platform.sustain-cert.com/public-project/3624
